,US Customer Name,US Review title,US Ratings,Reviews
547,Susie Q.,Has leaked twice,2.0 out of 5 stars,"  I have to admit that this bottle is attractive and comfortable to hold, unfortunately, I've had a few problems with it. Because of its ergonomic design, I could not get it to fit in a standard cup holder (It's more of an oval in shape than a circle). I have also had it leak from the back (where the lid hinge is) on two different occasions. Both times it was laying flat, hinge side down. It is easy to drink from and easy to fill. I thought the whole inspirational ""stone"" thing was a bit gimicky. It's pretty much just a piece of round paper snapped into the top of the lid.I wasn't super impressed with this water bottle."
548,Massinok,Have to buy something different,2.0 out of 5 stars,"  First off, it's adorable and I received a ton of compliments on it with lots asking where I had purchased the bottle. This was unfortunate because I started having problems with it about ten days in. The top became hard to open occasionally and now after almost three weeks it won't open at all. I'm really disappointed because I absolutely loved the design, the color, the ergonomics. It was wonderful until it wasn't."
549,AmazonShopping,and tried to re-create some of the bad review situations with the complaints,4.0 out of 5 stars,"  I just got it in the mail. I tested it out, and tried to re-create some of the bad review situations with the complaints. I haven't tried dropping it, but I left it in a hot car, put it sideways, upside down, and on different types of tables and counters. There's no leakage, and it's working pretty well. The top hinge isn't built all that well, but that's something that's an easy replacement. I see a lot of people complaining about things that happened in the dishwasher. The instructions are really clear that this is a hand-washable item. As far as cracking goes, that happens with most luxury items when they're dropped. It's not shocking. If you want a beater item that you can throw at someone while you're at a gym, or you have a habit of dropping things, get one of those free crap bottles that most companies give out at their lame parties! It probably won't be better for your health, but what the heck, you can drop it and throw it all you want, right? Mine seems pretty durable to me. I punched it hard, and it's fine. I definitely recommend it. For future reference, if it leaks, or there's an issue, it has a warranty/return policy. You can't expect any company to answer immediately after you click ""send"" on an e-mail, Facebook post, or tweet. Be patient. There are replacement parts and accessories found on the websites, ranging from $2.00 to $8.00. Instead of being cheap and/or complaining, if you like the bottle, get off of your behind and go fix it! It's worth it!"
550,Emily Rokke,Beautiful BPA-Free Water Bottle,5.0 out of 5 stars,"  I love this water bottle! BPA-Free products are really important to me. I also love the color of this water bottle. I would def recommend it and am considering buying more for Christmas presents, that's how much I like it."
551,Amazon Customer,Its a water bottle. Not an epic hydration vessel,2.0 out of 5 stars,"  Its a water bottle. It holds water and you can drink from it. But if a hipster designer is going all Jony Ive on me and strutting hyperboles like ""epic"", ""reinvention of a water-bottle"", I am going to call BS :)Below are some reasons why this is not water-bottle utopia:1. For folks who claim it took them three years to make it ""beautiful and functional"", it is not really very functional. It is elliptical so doesn't really fit in the cup holder of my car -- I have to leave it on the passenger seat when I take it to the gym.2. The little button that should pop the lid out doesn't pop it all the way to the back. You have to press it and then push it out of your way before you can sip from it.3. It is taller than it needs to be.Over all an OK product that does a good job of holding water. I wouldn't pay 25$ for it."
552,just,Great,5.0 out of 5 stars,"  The Kor One ""Hydration Vessel"" has a pretentious name, but it's a beautifully designed product. Easy to carry. Easy to open. Easy to fill. Big enough for ice cubes. Surprisingly heavy duty so it will last.I love it and has been using it.To clean your bottle in a more effective way, I bought the following product:http://www.amazon.com/gp/product/B00004OCLJ?ie=UTF8&camp=213733&creative=393177&creativeASIN=B00004OCLJ&linkCode=shr&tag=justckem-20"
553,Chase and Janessa Ramsey,Body and Mind saved!,5.0 out of 5 stars,"  I love this company and what they are doing to create a world with clean water. I travel the world and needed something this big when I am away from my apartment during the day. If you are looking for a water bottle to keep your body and mind in check. This is your best friend. 

KOR ONE Water Bottle Onyx, 25.4 Ounce"
554,K. Roman,There are times when plastic is better,5.0 out of 5 stars,"  KOR ONE makes a really nice water bottle. The opening is about 1.5 inches wide. It holds just over 25 ounces (750 ml). It should only be hand washed. I like the little spot to add your favorite saying or inspiration. It has a silicone ring on the bottom to help keep it in place. Ice Blue is blue maybe a little gray-blue. I like to use glass bottles, but there are times like at the gym or at the pool, where glass will not do. The KOR ONE is sturdy and a pleasure to use as a BPA Free Hydration Vessel and if it's good enough for Tony Stark (in Iron Man)... (-;"
555,David Hunter,Stunning Design - Not sure about the Plastic,1.0 out of 5 stars,"  As one reviewer above said, this is the Apple of water bottles. I have had my Kor One now from the very first week these were offered for sell. I use it mostly by my bedside so I haven't had the problems that more active individuals have had with this bottle and it has yet to leak. I do believe in its BPA Free credentials and this is not why I have an issue with the plastic. The only problem I have with this water bottle is that I am constantly having to wash it out and after just a couple of days the water and plastic can develop an undesirable odor and taste. I can definitely see why people buy stainless steel water bottles or just keep water in a glass instead of plastic. Steel and glass just keep water fresher tasting for longer. I wish Kor could pair up with a glass company such as Corning and make an unbreakable glass bottle but then again, I am sure it would be even more expensive. I give the Kor One 5 stars for design but, in the end, I have to rate this as a water bottle; 3 stars.I have had this bottle for more than a year longer than the above review. I have now downgraded my review to just 1 star. The taste of the water is just not neutral. I taste the plastic with every sip and this can not be good for your health. In fact, I am beginning to think that this water bottle is downright dangerous.  My bottle is always clean and I keep nothing but water in it. I wash the bottle with dishwashing soap every few days but I still can not get the plastic smell and taste out of the bottle. Are there cancer causing carcenogens in this plastic?  Even though it is adverstised as being BPA Free, is there no forthright information stating what other chemicals were used in making the Kor One?  I believe that the Kor One is a dangerous product and should be taken off the market. It is a shame. I believe that the design of the Kor One is a design masterpiece. Unfortunately, I also believe it is an manufacturing nightmare. I'm crossing my fingers that I'm wrong. I do not wish for anyone to get terminally ill due to the regular use of plastics."
556,Amazon Customer,Nice to look at but breaks so easily. Not worth it.,1.0 out of 5 stars,"  Very nice design, definitely eye-catching. Problem is just after one day of use, there is already a crack at the hinge. Mind you, I did not drop the bottle, just a small twist when it was open, and pop! A half inch circle of the plastic cracks open from one side of the hinge. Really not happy about spending a significant amount of money on a pretty little lemon.As for warranty, well, I bought this when I went to Singapore and brought it home. So, yeah, guess I'm stuck with this."
557,boost brigade,Ive had mine for more than a year and i still love it!,5.0 out of 5 stars,"  I bought 2 of these, i have a pink one and i gave the black one to my boyfriend. We use them at the gym all the time and ive never had a problem. the only con to me is that it doesnt fit into the car cup holder, but its not really a big deal because i could throw it in the seat or floor and it doesnt leak and the mouth is covered so it wouldnt get dirty.  And honestly, to the people complaining its hard to clean, its actually very easy for me, i just pour soap inside then shake it then rinse it, its easier than those with water bottles with spout."
558,Slater Lamb,"Looks nice, but has a high center of gravity so ...",1.0 out of 5 stars,"  If only the function followed the form. Looks nice, but has a high center of gravity so it tips easily. Not a big deal by itself but it was open when it tipped on my desk and that was enough to break the hinge. Before it was broken, it was hard to tell when it was securely closed and would leak in my bag. When I was careful to close it tightly, I could still get some water to come out by turning upside down and shaking. It is now an expensive dog bowl refill bottle (pitcher?)."
559,Annie D,beautiful but not worth the money,2.0 out of 5 stars,"  I received this as a gift from for Christmas and I loved this bottle.  I've had it replaced under the warranty because of the two hinges in the bottle. I've never dropped the bottle and now all it does is leak. I do not stand my Kor One water bottle upright for fear of it falling over(the base is so tiny to support the height of the bottle). It's easy on the eyes but there are other water bottles that are worth this money. I'm extremely cautious with my belongings and I do not throw things around and I clean my bottle regularly, I wanted this water bottle to work but it clearly did not fit the bill.  I considered buying the Delta water vessel to replace the one I have now, but after much research, I plan on purchasing a glass bottle with a silicone sleeve. Glass bottles don't have the smell that plastics do."
560,Bradley Rose,Worst customer service EVER!,1.0 out of 5 stars,"  I love the One and Nava I bought however, they just have not been durable enough. The biggest disappointment is with there customer service, absolutely horrendous. They are so arrogant to think that there product has no issues. they ask you to jump through so many hoops in order for them to actually believe you. And then don't appolagise for the hassle or even muster the courage to appolagise. My bottle leaks, the straw continually un-attaches, and the lid hinge is not strong enough.Also they sent me my Nava without any of the replacement filters and told me there system is ""fool proof"". Once again making the customer out to be wrong and themselves ritious.Again I really like the One and Nava when they work. However, just hope to god u don't have to deal with there compliants dept, as ur in for a long road and an unsatisfactory outcome.Sack the people in coustmer care and have a rethink how u want to treat ur coustmers."
561,Victoria D.,Such a cool bottle,5.0 out of 5 stars,  I got this Water bottle for my husband because he’s so picky with what he drinks out of but he loves this one because it’s a lot like drinking from a cup and not a bottle. The product is very well made and very sheek looking. He loves the way it looks and the design is just super cool. Will most likely be buying another for myself.
562,Troy Edwards,"You're kidding, right?",1.0 out of 5 stars,"  Watching the video, they are clearly going for an ""Apple feel"". The guy must have watched Johnny Ives' videos for two months before making his. They convinced one reviewer, but no, this is not the water bottle Apple would design. Apple is all about simple and functional, of which this bottle is neither.The bottle is far larger than it needs to be, doesn't fit in any conventional bottle holder (despite advertising otherwise). And what is up with the inspirational stones?Not recommended for anyone."
563,N7,KOR is the best water bottle I've had!,5.0 out of 5 stars,"  First the bad news--I suffer from some kind of obnoxious form of OCD.  Next, the good news! you can benefit from all of the time and money that I have spent reviewing various water bottles and purchasing various water bottles.I have gone through Sigg, Klean Kanteen bottles and a few others.  These ""hydration vessels"" Kor water bottles are my favorite by FAR.  The differences are many. Here are some PROs and Cons:PROs: 1. drinking spout is perfect size (the spout is larger than Sigg and smaller than Klean Kanteen and I love it!--added bonus no thread spout-- so it doesn't feel like you're drinking from the garden hose!)  2. nice size at 11.5"" tall, 3.4"" wide holds 25 ounces (KOR's website mentions that they'll be making larger sizes soon)  3. beautiful--I don't think I can mention this quality enough, I get compliments all the time when I'm out with the bottle, but even better than that I like looking at it so much that I'm drinking more water than ever! It catches the light and looks great on my desk, on the table and everywhere else (ps I have the 2 blue bottles and my wife has 1 green and 1 pink--did I mention we drink a lot of water now?)  4. durable- for us a least, I've noticed some people's reviews saying their bottle isn't and neither of us have dropped ours with or without water (thankfully) but it survives repeated us and travels with us in the car and in bags (mine's in my Timbuk2 messenger bag and hers in her purse) no leaking problems if you don't fill the top hinged part with water. I've dropped and ""destroyed"" the look of 2 Sigg bottles and 1 Klean Kanteen with ugly dents, so whatever bottle you do get don't drop it!  5. secure grip on bottom of bottle--it feels good when you set it down in a secure, this-isn't-going-to-move-around-on-me-way  6. you get to have a fun inspirational message when you flip open the cap!  You get five slips of paper that core calls ""stones"" each one has a different message and one is left blank for you to write on.  7. On their website korwater com you can choose which set of 5 messages you want AND you can get 15% off if you use the code KWS-12574  8. BPA free! Sigg scared me awhile back when they recalled some bottles due to the liner which is a proprietary blend and supposedly have fixed it, but I'm a wee bit paranoid.  9. no metal aftertaste and it doesn't have that plastic cup taste either. I used to only enjoy drinking from glass..until now!  10. Iron Man uses it. In Iron Man 2 Tony Stark uses a KOR bottle, so that's fun!CONs: 1. size- I know I have it as a positive, but it would be nice if there was a slightly larger version and I know there in the process of making it, but..  the current solution that my wife and I use is to get two, which does allow one to chill in the fridge while you drink from the other.  2. water in the top--can be a small nuisance, if you overfill the bottle or refill it with the flip top open toward the faucet it can collect some water and splash/leak that water out when you close it.  The solution--have the cap open to the right side when you fill it up.  3. some condensation can occur after you remove it from the fridge--not a biggie, you drink it, it warms up, condensation goes away.That's all!  So, do yourself a favor and get your new favorite water bottle or bottles!  (or hydration vessels- if you prefer) Just make sure you do it on their website korwater and get your choice of inspirational messages and get 15% off using the KWS-12574 code!Enjoy!!"
564,laurahoo,Wouldn't buy again.,1.0 out of 5 stars,"  So I bought two of these through a friend less than a year ago and was super happy when I got them. Mine was pink and pretty and my son's was ""indestructible"" - or so I thought. First, the shape wouldn't fit in any standard water bottle holder at the gym...I have a bigger cup holder in the car that it barely fits into, but I was ok with that and worked around it. I definitely wouldn't recommend it for running...the mouth is much too wide to actually drink while running unless you're really hot and want water all down your chest. Maybe that's the goal? And the shape was a bit awkward to hold while running, but I worked around it...because, after all, I spent a lot of money on this piece of plastic. So after months of minimal use, both of the water bottles cracked right at the hinge. And to top it off, on my son's blue one, the pieces that actually hold the top in place...well those just snapped right off somehow. So his won't even close. Mine will close with some work and sometimes wants to leak. Which is excellent while running so that I can get my legs and arms wet in addition to my chest.So then I call KOR thinking, well these are supposed to last more than a year with minimal use. I'm sure they'll replace them. They told me that I could send them in, at my own expense, and IF they decide that it's a manufacturer defect, they'll replace them. If they don't, then they'll be happy to give me a discount code to by another bottle (um...no). And then I'd get to pay shipping again if I wanted mine back. Isn't that just so nice? Yeah, went to target and got a much cheaper bottle instead that is easy to run with, doesn't leak, AND fits in standard cup holders."
565,Thistle,Nice water bottle with a wacky bonus,3.0 out of 5 stars,"  This sleek, elegant, clear blue water bottle has a hinged top that won't get lost because it does not detach.It holds about 25 oz, and has a 1.5 inch opening.The wacky bonus..... inside the cap it has inspirational messages that you can change.It's BPA free, says dishwasher safe on top rack, but I've seen where others had issues with that. I'll stick to hand washing mine.If you're looking for a water bottle that's pretty, well, this is it."
566,K. Barbee,KOR Water Bottle,2.0 out of 5 stars,"  These are nice looking bottles and I really enjoyed using mine every day but mine broke at the 5 month mark. We bought two bottles, my husband is still using his but the top of my bottle broke completely off. I e-mailed customer service twice but have not heard back from them, for the amount of money paid on these I would expect to either hear back from KOR and my bottle lasting more than 5 months. Would not buy again. A friend of mine also bought two KOR bottles and both of hers broke within 4 months as well."
567,Kim,Best water bottle ever!,5.0 out of 5 stars,"  Why I love my KOR water bottle:1. KOR provides the best customer service I've ever received in my whole life! WHOLE LIFE!  Really.2. And on top of this, this water bottle carries enough water to last me the entire day.3. I never have to worry about harmful chemicals being released into the water since it's BPA free.4. Coolest design ever.  This water bottle is truly unique.  I get compliments all the time, and strangers stop me to ask me where I got my water bottle.5. KOR gives back: a percentage of every purchase goes to support environmental issues.6. I know it's a small detail, but I love the tiny quotes that you can put into the top of the water bottle.  Every time I drink, I get a little pick me up!7. Great, reliable, durable material.  I've never once gotten a crack or any signs of my water bottle breaking down.  And I've had it for 2 years now!8. KOR is famous!  This water bottle showed up in the Iron Man!  Not really why I purchased it, but just throwing it out there as a plus."
568,Amazon Customer,I really liked it initially,2.0 out of 5 stars,"  I really liked it initially. It was the perfect size to carry around in the side pocket of my backpack as I went around university. Worked quite well, but within a couple months the white plastic on the bottom started to chip and split. By the end of the school year the white parts around the sides and bottom had completely fallen apart. The blue water bottle part was entirely intact, but there were sharp, jagged pieces of plastic around it. Sadly, it went to the great recycling pit in the sky and I replaced it with a not as nice, but more durable, Klean Kanteen."
569,Daniel Will-Harris,If Apple designed a water bottle...,5.0 out of 5 stars,"   The Kor One ""Hydration Vessel"" has a pretentious name, but it's a beautifully designed product. Easy to carry. Easy to open. Easy to fill. Big enough for ice cubes. Surprisingly heavy duty so it will last. [....]"
570,Steffen GO,Best looking water bottle around,4.0 out of 5 stars,"  my main reason for getting this water bottle was because i needed one.  i had one with a built in straw, and while I loved it I could never get it as clean as i wanted.  Nalgenes are great, but I always seemed to splash water all over my face when drinking out of them.Along came this beautiful water bottle.  I've gotten a TON of compliments on it and people wondering where i got it.  It's BPA free (if you are concerned) and is environmentally friendly.  It would get 5 stars if I didn't need a bottle brush to clean the inside (which wouldn't really be a problem but I sometimes put iced tea in it.)LOVE IT!"
571,DrandomTubas,"Overpriced, awkward, and NOISY",1.0 out of 5 stars,"  I got this one one of those lightening deals, but I still feel like I paid too much.It's without a doubt the fanciest water bottle I've ever seen... oh wait, I'm sorry... HYDRATION VESSEL, and I got tons of compliments on it, but seriously... it's pretty stupid.The little squishy top section? That's a place to put inspirational comments to yourself. Nothing else. You can even buy them at the website -- keep in mind these are basically sheets of plastic with words on them.It's long and narrow and therefore top-heavy, it requires two hands to open fully... but all of these pale to this issue:the thing SQUEAKS whenever I open or close it. reeeeeeeeeeeiiiit. As a performer, I simply can't have that.It is a very pretty bottle, it's got a nice rubbery bottom, and it doesn't leak."
572,B Baskin-Gilmore,People always ask about my bottle!,5.0 out of 5 stars,"  I love this bottle so much, this one was bought to give as a gift to someone who coveted mine. I have grip issues, and the oval shape and the “handle” make it easier to hold. It’s easy to fill since it’s clear, I love the wide (but not too wide!) mouth. It never leaks, and I pop a love note to myself into the lid!"
573,Watson1313,"Easy to hold, bad lid design, bad color",3.0 out of 5 stars,"  Looks great, easy to hold however, the lid is hard to use and feels like it will easily snap off. The color is not green like the picture but just a very faint hint of green."
574,Kendall Marks,Inside Gets Moldy Within a Month,1.0 out of 5 stars,"  I bought this water bottle about two months ago, and loved it. However, as soon as a week after my purchase I noticed that the inside cap had a little dark spot on it. I disregarded this, brushing it off. Since then I have been washing my water bottle at least once a week and more and more mold has sprung up. It is truly disgusting, and it won't come off- even when scrubbed rigorously with soap. I would not recommend spending the $30 on this water bottle, I expected much better quality, as I have never had a water bottle mold before."
575,KMH,Best. Holds up,5.0 out of 5 stars,  Had for 1.5 years and used every day. It's great. Just started to leak- probably because I dropped it a million times- I'm here to buy another. Favorite water bottle ever
576,Amy Henke,Poor latch design,2.0 out of 5 stars,"  I've had two of the green sawgrass bottles. The first one fell over on my desk while open (and empty thank goodness) and the latch arm hit the metal end of a three ring binder and snapped off. I wrote the company and told them that I felt there was a problem since the bottle was only two months old and for that price I felt the design should be more robust. The second one lasted well over a year; but the first time it fell off my desk onto my carpeted floor the latch arm broke off. The problem with this is that the lid isn't repairable or replaceable meaning I now have two lovely bottles that do not close.In addition, the second bottle did leak after several trips through the dishwasher. Again, the seal isn't replaceable so I don't know if this would have solved the problem. If I had paid less than $10 for this bottle I wouldn't be as upset but at this price point, the design should be more durable."
577,Diana,pretty bottle that broke within the first month,1.0 out of 5 stars,"  Beautifully designed product, but the latch stopped working and the bottle started leaking within the first month. Customer service was also useless - they wanted me to mail the product back to them. If I'm spending that much money on a water bottle, I expect higher product quality and real customer service."
578,Tenjin,Sexy,5.0 out of 5 stars,"  The picture doesn't do this justice, this is about as sexy as a water bottle can get!This is truly a functional piece of modern art. The cool blue color, the trendy ""iWhite"" accents and the one-hand open top makes this one a winner. The flip-top means you don't have to worry about the cap and the opening is wide enough to get a decent flow but not too much where you have to worry about overspill. The bottle is oval in shape so it doesn't fit well in cup holders but that's not a problem since it seals tight with a click. The bottle measures 11.36"" and holds 750 ml. You'll drink more water with this and look great doing it!"
579,PM,Horrible design and awkward shape,1.0 out of 5 stars,"  I bought this bottle 3 months ago and already it's broken. The part at the top that locks shot has two pieces and both have broken off! I have hand washed these bottles and have taken good care of them. They also have an awkward elliptical shape which is not conducive for using! The shape does not fit in the cup holder in my car and I also can't use it at the gym due to the shape (not able to fit in the cup holders in spin bike or treadmill). I have several ""Intak"" bottles by thermos that I have used daily for 2 years with no problems. I would recommend those bottles over these any day! They are also BPA free."
580,Jane,Love this bottle,5.0 out of 5 stars,"  Love this bottle.  Sleep design. Very high quality and durable.  I like that is has more of a flat snap and it comes with the handle, which is easy to carry around."
581,minkhale,"Really, really wanted to love this bottle, but it is flawed",1.0 out of 5 stars,"  I loved everything about this bottle for the first ten days, but then the trouble started.  The blue ring became sticky despite washing according to the directions from Kor. (Maybe it didn't like my chapstick?) That, of course, affected the seal and the bottle leaked inside my brand-new, lovely leather purse.  Kor sent me a new ring after I sent several nagging emails. (It took 20 days to get the new ring, even though I live 20 minutes from Kor's corporate office.)  I have never dropped the bottle, but after it fell over in the car yesterday, the lid will no longer snap shut and seal.  (It was leaning against the seat on the floor and tipped over.) My pricey, very cool water bottle is useless after only a few weeks.  Don't waste your money.  Maybe Kor can fix the design flaws and come out with something a bit more durable.  Until then, I will sadly have to use my old, boring water bottle."
582,David C. Cobb,GORGEOUS BUT FLAWED,2.0 out of 5 stars,"  I pre-ordered a KOR ONE directly from the Kor website as soon as they were available in 2008, to use around my workplace, at my desk and during meetings. It was as gorgeous as I had hoped, easy to clean, easy to hold, and it stayed beautiful a long time.I had it over a year -- until it fell over, off my desk and onto our office's polished-concrete floor. Thankfully, it was empty, because the hinge and lid shattered into a handful of pieces. Alas, all the beautiful aesthetics in the world can't make up for material or engineering flaws -- perhaps the choice of plastic for Kor is a bit too brittle, and the hinged lid becomes a liability during a fall. I think they should have at least made the lid easily detachable, so it could come apart in a fall, rather than crack the material (unbelievably, the *pin* in the hinge actually sheared in two as well).Add to that, its very tall height and rounded, oval base -- which makes it a tad unstable, empty or full. Simply put, I don't think a water bottle should break after a short two-foot fall onto a hard floor."
583,Researchboy,Poor Quality - Don't Purchase,1.0 out of 5 stars,"  I purchased 2 of these item.  The first broke within a few weeks so i got a second one thinking it was just an anomaly.  The second one lasted about as long as the first.  The poor design is related to the locking tabs located on the top of the bottle.  There are two of them and they are very weak. The tips fracture and result in a poor seal at the mouth of the bottle and water leaking.  I recommend going with a different design bottle that doesn't have this locking feature.  Unfortunetly, KOR wouldn't replace it unless I paid for the shipping back to them.  I am sorry, i already tried two of them and will NOT EVER buy another one these water bottles.  Poor customer service."
584,Anna,LOVE THIS WATER BOTTLE!,5.0 out of 5 stars,"  LOVE THIS WATER BOTTLE! the handle makes it so easy to carry around- it is so air tight, i was at peace knowing that it won't spill. I love how it looks. Best water bottle. And it's BPA free! So obsessed."
585,UncleJ,Just different shape but same plastic bottle,1.0 out of 5 stars,  Just different shape but same plastic bottle. Triple charges for different shape. Also scamming price (advertise low price and request more money or cancel without notice).
586,lily,seal broke after a year of heavy use,3.0 out of 5 stars,"  i had loved my kor one... i am a teacher so i used it heavily. i put it in our dishwasher frequently and never thought anything of it. but one day the lock just broke off. i tried to glue it back but i wasn't successful. i'm sad! now, after researching, i think i'll buy the Lifefactory glass bottle instead. i loved Kor One's fancy lock and hinged top, but i guess it isn't made to last. it's expensive to have it break so soon!"
587,R. Farmer,"Good, but....",4.0 out of 5 stars,"  This is a water bottle.  It does nothing except store water without introducing unwanted chemicals through contact with plastic.I love this water bottle.  I got mine about 3 weeks ago and it has been extremely sturdy and scratch resistant, and I find that doesn't change the taste of the water the way my last bottle (Nalgene) did. The cap stays firmly secured in the closed position despite the constant jostling of my daily commute into the city, and I have no fear of it spilling at any point.  the Kor stones are kind of lame at first, but you find other things to put in the cap window which actually make it kind of amusing.  I've gotten more than a few comments that it looks like something out of 2001: A Space Odyssey. It would be perfect except that i think it might be a bit large.  I would have ordered a smaller volume bottle had one been available, as this one is a bit tall for its base.  Cleaning it has also proved to be a little tricky because it has such a narrow mouth."
588,lookingforshoes,Great until the plastic around the hinge started to crack after a few weeks,3.0 out of 5 stars,"  I was so excited for this water bottle and have to admit, I was extremely happy and impressed with my blue KOR bottle! It was lovely to look at and received tons of lookers and compliments in class. I never put it into the dishwasher and never dropped it, but one day I noticed there was a large crack near the hinge. I didn't think much of it until I realized my bottle was leaking when the bottle was completely full or when the bottle got tipped over (when the top was closed, of course). I was very sad this happened, but unfortunately was no longer able to use this bottle :( Hopefully the plastic will get an upgrade (or I'll get a lesson in how to more perfectly handle the KOR)."
589,mjsakura,Cool,5.0 out of 5 stars,"  Keep in mind before buying this that it is not sold on outdoor websites or in outdoor stores. This bottle is cool, no other way to say it. It's meant as a way to replace disposable bottles and/or encourage daily hydration. It's not marketed as ""indestructible"" and if you see one in person it's obvious that if YOU drop it YOU will break it (not the company's fault people). Mainly this is a cool everyday water bottle that is great for work, gym, car etc. Just be careful with it (I try not to drop expensive things in general but if I do, it's MY fault). If you want something you can drop all the time, buy a Nalgene, if you want a cool bottle for everyday use, but a KorOne. It does exactly what it's billed to do and it is sooooo coooooool!"
590,Sean L. Lane,Pretty good design -- except that I dropped the bottle ...,2.0 out of 5 stars,  Pretty good design -- except that I dropped the bottle while it was open and it broke right where the flimsy hinge attaches the lid to the container.  Seems like a design oversight.  I won't buy another one.
591,Tiyeyayu,My daughter loves it,5.0 out of 5 stars,  Bought this for my daughter and she loves it
592,keekee,KOR ONE BPA water bottle,5.0 out of 5 stars,"  I bought this for my husband for Christmas and he loves it. He says, ""It seals great, easy to fill, easy to carry, perfect amount of water, easy to drink out of.""  I bought it in the ""chrome"" and when it arrived I was surprised how ""shiny"" it was but my husband loved it.  win win."
593,C. Petrone,Loved this water bottle...until it broke!,2.0 out of 5 stars,"  I bought this water bottle in May and fell in love with it.  Didn't leak, looked great & got tons of compliments, stored a lot of water.  Figured great at work and to tote to gym with me.  I couldn't be any happier after tons of failed water bottles!...and then today I used it at work, no problems.  Then filled it before going to the gym, to see my bag that was sitting next to me in the car was soaked.  Figured I closed the cap wrong and it was my fault.  Then I get into the gym and go to take a sip - notice a crack by the hinge!!!  I didn't even rough house with it, just casual everyday use!I raved about this water bottle to the dozens of people who asked about it and wanted one, now I am just upset I spent $30 to only have it last for THREE months!!  I feel kind of ripped off, very disappointed."
594,t time,DO NOT BUY THIS CHEAP BREAKABLE BOTTLE,1.0 out of 5 stars,"  I've been through two of these now. The first lasted me ONLY ONE WEEK, and the other didn't make ONE DAY. The MOST important part of the bottle, the lock, cracked both times. The button also broke, because it was made of the same cheap plastic. The contents of the bottle hinge on both the lock and the button's tiny plastic lips that snap under average usage. Don't waste your time or your money on this product that desperately needs serious revamping of these components before it should be allowed to vend this product. Very unsatisfactory."
595,Deni,"great product, it came even before than expected",5.0 out of 5 stars,"  great product, it came even before than expected.the bottles design is modern and cute at the same time.very easy to use."
596,TrueTashaSnailz,"KOR water bottle, neat and convinent.",5.0 out of 5 stars,"  This product is great. It is sturdy, convinent, and really neat to look at. Features an easy to carry handle and overall friendly shape. It also has a rubber ring on the bottom to prevent sliding. The mouthpiece is wide and comfortable to drink from. Also BPA free and fairly easy to clean. I read that BPA is a chemical in water bottles that absorbs any other chemicals it comes in contact with, and it can even cause birth defects. I know it's a little pricey, and im not the type to spend a lot on something but i think this is the best water bottle you can get."
597,Marianne,Love the capacity but it leaks,3.0 out of 5 stars,"  I love the capacity and in the beginning, I loved the handle.  However, I was disappointed that it started leaking after just a few uses.  Now if I lift a full bottle by the handle, the whole lid pops open.  I still use it and have been for several years.  It seems pretty rugged and still looks great."
598,booknerd74,"Meh, save your dollars",2.0 out of 5 stars,"  It's just a bottle, I don't see any benefits in spending $25 to drink water from it."
599,Sophia T.,"Cleaning isn't the easiest, but simple enough",4.0 out of 5 stars,"  If you go t the rose gold chrome like me, washing has to be done by hand, not the dishwasher, so it's not the easiest, but it's simple enough."
600,revolution653,Love this bottle!!,5.0 out of 5 stars,  Love this bottle so much it goes everywhere with me. Can't wait to get more colors.
601,Dinesh,Disappointed,1.0 out of 5 stars,  No. Nothing felt premium. I trusted KORS and felt cheated. I got the chrome version. The cap didn't open up on the first attempt. I had to pull it so hard that the hinge was almost broken.
602,angelfood,Style Meets Function,5.0 out of 5 stars,"  Sleek & stylish water bottle, BPA free.Perfect for the office or toting around if you like to make a fashion statement or have an image to uphold. You know who you are.Easy to use and clean. Plastic is not too heavy, not too light, very sturdy."
603,Natureal beauty,Not very durable for the price,2.0 out of 5 stars,"  I like the design of the bottle, but it is not very durable. I have dropped my bottle and within the first week it had cracked. It is still functional but not what I expected. The seal around the top is getting old. For the price I expected the bottle to be durable and of high quality."
604,Travis,Far too fragile for the price,2.0 out of 5 stars,"  I've owned two of these bottles. The first one shattered at the hinge after being knocked to the ground. Disappointing, but not completely unreasonable. The second bottle fractured at the hinge. . . after tipping over onto the surface it was sitting on. I enjoy the design, but these are just too fragile for general use."
